"","difference","method","beta","sigma","xi","n","alpha","time","hatsigma","hatxi"
"603","-0.00610058689246396","AD","0.98","5","-0.15","10000","0.005","13.6608881950378","5.34809565536509","-0.200784781497778"
"604","-0.0118217556368583","CVM","0.98","5","-0.15","10000","0.005","13.5934908390045","5.15203054313013","-0.181846693547895"
"605","-1.34162440783137","Langousis","0.98","5","-0.15","10000","0.001","2.84309792518616","0.532862423881514","0.339909051383577"
"606","0.0188584019979334","Residuals","0.98","5","-0.15","10000","0.001","0.415499925613403","4.21304285877118","-0.103240177476537"
"607","-0.00125579832657907","AD","0.98","5","-0.15","10000","0.001","13.9407570362091","4.17043419271248","-0.098321666069154"
"608","-0.0153508826387432","CVM","0.98","5","-0.15","10000","0.001","13.5685470104218","3.8892689461273","-0.0643930751729471"
"609","-1.82460350697718","Langousis","0.98","5","0","2000","0.1","0.475769996643066","0.66908226425902","0.19760867793776"
"610","-1.13963946257581","Residuals","0.98","5","0","2000","0.1","0.0507798194885254","0.470333064846674","0.450034958669249"
"611","-0.0311561478224509","AD","0.98","5","0","2000","0.1","1.59363698959351","3.11715119305755","0.22186527763367"
"612","-0.0431176155790967","CVM","0.98","5","0","2000","0.1","1.61442494392395","2.86324335081517","0.279512544739059"
"613","-0.785146664770199","Langousis","0.98","5","0","2000","0.05","0.445058107376099","0.365553091310372","0.710193971147548"
"614","0.0728195853601115","Residuals","0.98","5","0","2000","0.05","0.0751380920410156","5.12978684246556","-0.10491226565308"
"615","-0.0415965463811161","AD","0.98","5","0","2000","0.05","1.58826899528503","2.58185224641376","0.421199248720805"
"616","-0.302440032650992","CVM","0.98","5","0","2000","0.05","1.20769190788269","0.283463311725507","1.50132818628634"
"617","-1.13375253514091","Langousis","0.98","5","0","2000","0.005","0.451346158981323","0.442301693277273","0.511592196216945"
"618","-1.13136762679818","Residuals","0.98","5","0","2000","0.005","0.0535430908203125","0.440764951244478","0.514087395160945"
"619","-0.057867451255885","AD","0.98","5","0","2000","0.005","1.55693697929382","3.55301694634951","0.13759057752853"
"620","-0.406982920980785","CVM","0.98","5","0","2000","0.005","1.02799105644226","0.291639190180411","1.37463501759332"
"621","-1.38110609000126","Langousis","0.98","5","0","2000","0.001","0.469271898269653","0.513678718628846","0.431970186515709"
"622","0.127061710379504","Residuals","0.98","5","0","2000","0.001","0.0526800155639648","7.38271674187243","-0.509722976091956"
"623","-0.113422813223685","AD","0.98","5","0","2000","0.001","1.56748008728027","4.48743630068226","-0.115654895670855"
"624","-0.162269690245361","CVM","0.98","5","0","2000","0.001","1.49155807495117","2.42144837121464","0.377009613091925"
"625","-1.54320729581673","Langousis","0.98","5","0","10000","0.1","2.82860803604126","0.570152810538451","0.337290771477655"
"626","0.0908652015835312","Residuals","0.98","5","0","10000","0.1","0.341740131378174","5.83681173463336","-0.0577097247088494"
"627","-0.00972442308175658","AD","0.98","5","0","10000","0.1","14.6415150165558","5.72980948694467","-0.0476101275686886"
"628","-0.00972442308175658","CVM","0.98","5","0","10000","0.1","14.749274969101","5.72980948694467","-0.0476101275686886"
"629","-1.41250784525709","Langousis","0.98","5","0","10000","0.05","2.84385895729065","0.534899529147636","0.362406183910531"
